Ticker,Short Name,Sector,Industry,Market Cap,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Forward PER,PBR,PSR,EV/EBITDA,ROE,ROA,Debt/Equity Raw,Debt/Equity,Operating Margin,Profit Margin,Free Cash Flow,Operating Cash Flow,FCF Yield,Data Quality,Failed Reason
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,40814551040.0,0.004844098070605929,3.0,Yearly,0.081,0.085,21.403223,5.5432158,5.5364285,21.053,0.20971,0.086330004,56.336,0.56336,0.25559,0.19533001,1060374976.0,1608999936.0,0.025980317043320832,OK,
AAPL,Apple Inc.,Technology,Consumer Electronics,4602128760832.0,0.01812535743479393,3.0,Yearly,0.164,0.287,32.924843,42.845108,9.858402,27.531,1.4875101,0.27082002,78.445,0.78445,0.32623002,0.27618998,107721875456.0,146723995648.0,0.02340696687428741,OK,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,443387412480.0,0.017525049181538188,3.0,Yearly,0.102,2.904,15.412617,-74.69783,6.886395,16.383,,0.105100006,,,0.40035,0.098000005,16870250496.0,19506999296.0,0.03804855532916368,PARTIAL,
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,101572018176.0,0.13378255972989694,3.0,Yearly,0.165,0.334,27.584087,12.832288,7.718825,33.804,0.34542,0.061389998,32.004,0.32004,0.21009001,0.2045,3206874880.0,4860000256.0,0.03157242454750927,OK,
ABT,Abbott Laboratories,Healthcare,Medical Devices,182088253440.0,0.005127944169646348,3.0,Yearly,0.13,-0.475,17.350744,3.5626502,3.9087315,18.009,0.10576,0.05328,63.212,0.63212,0.14706999,0.116450004,7209124864.0,9905000448.0,0.03959137795989395,OK,
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,32797235200.0,0.2596165530127874,3.0,Yearly,-0.105,-0.071,9.850563,1.4068766,1.7053471,5.986,0.19936001,0.04124,17.836,0.17836,0.26584998,0.24396999,4302125056.0,6099999744.0,0.13117340622663218,OK,
ACN,Accenture plc,Technology,Information Technology Services,107579416576.0,0.04193654176414818,3.0,Yearly,0.056,0.09,11.995775,3.3729208,1.4716628,8.298,0.24406,0.10903,25.035,0.25035,0.16964,0.10656,12089380864.0,13182094336.0,0.11237633786068545,OK,
ADBE,Adobe Inc.,Technology,Software - Application,101306851328.0,0.10522339932516123,3.0,Yearly,0.127,0.079,9.268257,8.828766,4.020432,10.562,0.62953997,0.19926001,61.443,0.61443,0.35327998,0.28689,9218374656.0,10481000448.0,0.09099458264825325,OK,
ADI,"Analog Devices, Inc.",Technology,Semiconductors,176900325376.0,-0.028383891841526898,3.0,Yearly,0.396,1.635,22.346508,5.272607,12.743379,26.411,0.12227,0.06406,27.314,0.27314,0.39503,0.29787,4147339008.0,5545325056.0,0.023444496210987004,OK,
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,41713602560.0,-0.07541376844907977,3.0,Yearly,0.072,3.156,15.210362,1.7696854,0.508089,16.452,0.07642,0.02257,39.134,0.39134,0.04008,0.021559998,1164625024.0,2795000064.0,0.027919550279188354,OK,
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,105362030592.0,0.06808407405467554,3.0,Yearly,0.068,0.098,19.794842,17.493568,4.800661,16.634,0.72239,0.062470004,91.436,0.9143600000000001,0.23459,0.20109,5243049984.0,5441200128.0,0.04976223364850466,OK,
ADSK,"Autodesk, Inc.",Technology,Software - Application,43183579136.0,0.12918055811635742,3.0,Yearly,0.161,0.596,14.535963,12.764564,5.543463,18.694,0.53854,0.11472999,109.518,1.09518,0.29228002,0.21078,3157499904.0,2896000000.0,0.07311806865419707,OK,
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,29414596608.0,0.03409709923004489,3.0,Yearly,-0.062,0.119,18.291056,2.1487653,3.497158,13.164,0.11943,0.030569999,157.846,1.57846,0.25236,0.18583,-1786249984.0,3251000064.0,-0.060726652410191026,OK,
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,67870019584.0,0.036603082441915236,3.0,Yearly,0.07,-0.432,18.181845,2.1155968,2.9779308,13.557,0.10130999,0.029790001,160.789,1.6078899999999998,0.23251,0.13781999,-5995950080.0,7694000128.0,-0.08834460512537577,OK,
AES,The AES Corporation,Utilities,Utilities - Diversified,10573160448.0,-0.010249740650209005,3.0,Yearly,0.199,,6.2518454,2.138528,0.8099556,12.175,0.095740005,0.02964,256.886,2.5688600000000004,0.18673,0.1434,-3089125120.0,5032000000.0,-0.29216667383349254,OK,
