Ticker,Short Name,Sector,Industry,Market Cap,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Forward PER,PBR,PSR,EV/EBITDA,ROE,ROA,Debt/Equity Raw,Debt/Equity,Operating Margin,Profit Margin,Free Cash Flow,Operating Cash Flow,FCF Yield,Data Quality,Failed Reason
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,44113408000.0,0.004844098070605929,3.0,Yearly,0.081,0.085,23.155527,5.9920344,5.983913,22.357,0.20971,0.086330004,56.336,0.56336,0.25559,0.19533001,1060374976.0,1608999936.0,0.024037475771538665,OK,
AAPL,Apple Inc.,Technology,Consumer Electronics,4905541566464.0,0.01812535743479393,3.0,Yearly,0.164,0.287,35.05517,45.669838,10.508355,29.337,1.4875101,0.27082002,78.445,0.78445,0.32623002,0.27618998,107721875456.0,146723995648.0,0.021959221830352933,OK,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,466448285696.0,0.017525049181538188,3.0,Yearly,0.102,2.904,16.226177,-78.58291,7.2445607,17.255,,0.105100006,,,0.40035,0.098000005,16870250496.0,19506999296.0,0.03616746167440073,PARTIAL,
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,99530153984.0,0.13378255972989694,3.0,Yearly,0.165,0.334,26.866573,12.574325,7.5636563,32.028,0.34542,0.061389998,32.004,0.32004,0.21009001,0.2045,3206874880.0,4860000256.0,0.03222013381508002,OK,
ABT,Abbott Laboratories,Healthcare,Medical Devices,178727452672.0,0.005127944169646348,3.0,Yearly,0.13,-0.475,16.917128,3.4739478,3.836588,17.578,0.10576,0.05328,63.212,0.63212,0.14706999,0.116450004,7209124864.0,9905000448.0,0.04033585639040109,OK,
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,33039489024.0,0.2596165530127874,3.0,Yearly,-0.105,-0.071,9.93661,1.4182206,1.7179434,6.034,0.19936001,0.04124,17.836,0.17836,0.26584998,0.24396999,4302125056.0,6099999744.0,0.1302116098973238,OK,
ACN,Accenture plc,Technology,Information Technology Services,110938972160.0,0.04193654176414818,3.0,Yearly,0.056,0.09,12.353157,3.4782524,1.5176207,8.558,0.24406,0.10903,25.035,0.25035,0.16964,0.10656,12089380864.0,13182094336.0,0.10897325465179432,OK,
ADBE,Adobe Inc.,Technology,Software - Application,98945695744.0,0.10522339932516123,3.0,Yearly,0.129,0.105,8.994958,8.358068,3.81,10.194,0.61902,0.19731002,57.48,0.5748,0.34822,0.28048,9129875456.0,10805999616.0,0.0922715777310973,OK,
ADI,"Analog Devices, Inc.",Technology,Semiconductors,182060941312.0,-0.028383891841526898,3.0,Yearly,0.396,1.635,22.98246,5.4264216,13.115134,27.287,0.12227,0.06406,27.314,0.27314,0.39503,0.29787,4147339008.0,5545325056.0,0.022779949274746723,OK,
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,41053057024.0,-0.07541376844907977,3.0,Yearly,0.072,3.156,14.8526325,1.7416729,0.50004333,16.561,0.07642,0.02257,39.134,0.39134,0.04008,0.021559998,1164625024.0,2795000064.0,0.028368777100305814,OK,
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,107745607680.0,0.06808407405467554,3.0,Yearly,0.068,0.098,20.242655,17.88932,4.909265,17.006,0.72239,0.062470004,91.436,0.9143600000000001,0.23459,0.20109,5243049984.0,5441200128.0,0.04866138023530056,OK,
ADSK,"Autodesk, Inc.",Technology,Software - Application,45342547968.0,0.12918055811635742,3.0,Yearly,0.161,0.596,15.278825,13.40273,5.8206096,19.638,0.53854,0.11472999,109.518,1.09518,0.29228002,0.21078,3157499904.0,2896000000.0,0.06963657856696476,OK,
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,28301688832.0,0.03409709923004489,3.0,Yearly,-0.062,0.119,17.57254,2.0674663,3.3648424,12.846,0.11943,0.030569999,157.846,1.57846,0.25236,0.18583,-1786249984.0,3251000064.0,-0.0631146075629357,OK,
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,65327685632.0,0.036603082441915236,3.0,Yearly,0.07,-0.432,17.500772,2.0363488,2.866381,13.231,0.10130999,0.029790001,160.789,1.6078899999999998,0.23251,0.13781999,-5995950080.0,7694000128.0,-0.0917826802219204,OK,
AES,The AES Corporation,Utilities,Utilities - Diversified,10576129024.0,-0.010249740650209005,3.0,Yearly,0.199,,6.256064,2.1399713,0.810183,12.175,0.095740005,0.02964,256.886,2.5688600000000004,0.18673,0.1434,-3089125120.0,5032000000.0,-0.29208466661005816,OK,
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,58321264640.0,-0.03229187547440737,3.0,Yearly,-0.01,0.468,15.425436,1.9275252,3.2276974,10.81,0.16908,0.0313,53.365,0.5336500000000001,0.25722998,0.26908,5152249856.0,2647000064.0,0.08834256060466661,OK,
AIG,"American International Group, I",Financial Services,Insurance - Diversified,39389544448.0,-0.036944411466962035,3.0,Yearly,0.005,-0.101,8.57337,0.9734319,1.4731121,4.67,0.0722,0.01765,22.466,0.22466,0.19414,0.11089,7365000192.0,3849999872.0,0.18697855725960186,OK,
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,13920647168.0,0.07927210984608024,3.0,Yearly,0.094,0.305,12.04389,2.2855594,1.0345155,8.114,0.18341999,0.02564,36.211,0.36211,0.11734,0.07903,2149574912.0,1870700032.0,0.15441630594167502,OK,
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,61388537856.0,0.17699918642049317,3.0,Yearly,0.309,-0.107,16.082468,2.5879657,4.0630445,17.287,0.06722,0.02317,59.401,0.59401,0.1916,0.10378,2082300032.0,2448999936.0,0.033920013486629735,OK,
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,15021259776.0,0.05178977181914113,3.0,Yearly,0.054,-0.268,14.49193,3.1605685,3.474864,19.451,0.08918,0.025150001,196.672,1.96672,0.076290004,0.09507,710060096.0,1447190016.0,0.04727034260698215,OK,
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,13087941632.0,-0.11101948515436078,3.0,Yearly,0.311,,9.817434,1.6276784,2.2153275,10.758,0.02648,0.03165,18.976,0.18975999999999998,0.2771,0.03795,1334340224.0,1800327936.0,0.10195187765336147,OK,
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,10486193152.0,0.026117671821406674,3.0,Yearly,0.043,-0.121,11.763112,2.484724,2.5331833,10.268,0.10155,0.07556,2.855,0.02855,0.18247,0.09991,594111360.0,755696000.0,0.05665653410996792,OK,
